,gene,pvalue,qvalue,TIC
0,SPINT2,9.999000099990002e-05,0.001986273481247611,461.75085365233844
1,EEF1A1,9.999000099990002e-05,0.001986273481247611,295.48248363987256
2,ACTB,9.999000099990002e-05,0.001986273481247611,277.3305746330826
3,RPL19,9.999000099990002e-05,0.001986273481247611,270.703449774267
4,B2M,9.999000099990002e-05,0.001986273481247611,268.7263281901137
5,POSTN,9.999000099990002e-05,0.001986273481247611,253.32179881942747
6,COL1A1,9.999000099990002e-05,0.001986273481247611,235.2088259937551
7,RPS16,9.999000099990002e-05,0.001986273481247611,222.22307056088664
8,FN1,9.999000099990002e-05,0.001986273481247611,218.5294245727698
9,RPL41,9.999000099990002e-05,0.001986273481247611,180.34401528980024
10,TMSB10,9.999000099990002e-05,0.001986273481247611,179.98046190608008
11,RPL23,9.999000099990002e-05,0.001986273481247611,170.69989197834002
12,MGP,9.999000099990002e-05,0.001986273481247611,169.32703899146145
13,COL1A2,9.999000099990002e-05,0.001986273481247611,165.3698032266424
14,RPLP2,9.999000099990002e-05,0.001986273481247611,163.3972095129639
15,HLA-B,9.999000099990002e-05,0.001986273481247611,161.381973346344
16,COL3A1,9.999000099990002e-05,0.001986273481247611,158.64402088241437
17,PABPC1,9.999000099990002e-05,0.001986273481247611,147.82904807541365
18,RPL13,9.999000099990002e-05,0.001986273481247611,142.11343686861684
19,PRSS23,9.999000099990002e-05,0.001986273481247611,136.33973750378294
20,GAPDH,9.999000099990002e-05,0.001986273481247611,126.78877102319254
21,XBP1,9.999000099990002e-05,0.001986273481247611,118.58537076760993
22,RPLP1,9.999000099990002e-05,0.001986273481247611,117.8239093807357
23,FXYD3,9.999000099990002e-05,0.001986273481247611,117.13929033036494
24,VIM,9.999000099990002e-05,0.001986273481247611,111.59440699275403
25,RPL30,9.999000099990002e-05,0.001986273481247611,111.10578677739652
26,RPN2,9.999000099990002e-05,0.001986273481247611,108.60793933387363
27,C4B,9.999000099990002e-05,0.001986273481247611,107.69029898937774
28,CTSD,9.999000099990002e-05,0.001986273481247611,107.63260478576377
29,RPS27A,9.999000099990002e-05,0.001986273481247611,107.29400838029953
30,ACTG1,9.999000099990002e-05,0.001986273481247611,107.1652516150638
31,C4A,9.999000099990002e-05,0.001986273481247611,101.7866101054302
32,CD24,9.999000099990002e-05,0.001986273481247611,101.70262735214017
33,TMSB4X,9.999000099990002e-05,0.001986273481247611,100.84071154157299
34,SPARC,9.999000099990002e-05,0.001986273481247611,99.09475888565179
35,IFI6,9.999000099990002e-05,0.001986273481247611,97.42469832564012
36,RPS18,9.999000099990002e-05,0.001986273481247611,96.10416656049563
37,TPT1,9.999000099990002e-05,0.001986273481247611,83.16328328865603
38,RPL7A,9.999000099990002e-05,0.001986273481247611,82.40608221232317
39,RPS2,9.999000099990002e-05,0.001986273481247611,82.10422741857158
40,RPL10,9.999000099990002e-05,0.001986273481247611,79.46755106197286
41,RPL8,9.999000099990002e-05,0.001986273481247611,78.44558844722845
42,RPL37A,9.999000099990002e-05,0.001986273481247611,77.17862140192716
43,RPL27A,9.999000099990002e-05,0.001986273481247611,75.93527750044343
44,GNAS,9.999000099990002e-05,0.001986273481247611,75.26966943794292
45,UBB,9.999000099990002e-05,0.001986273481247611,74.61689429597608
46,MALAT1,9.999000099990002e-05,0.001986273481247611,74.55405048585551
47,KRT18,9.999000099990002e-05,0.001986273481247611,73.78383599418416
48,RPS4X,9.999000099990002e-05,0.001986273481247611,73.17945030965011
49,DCN,9.999000099990002e-05,0.001986273481247611,72.92563589973075
50,LUM,9.999000099990002e-05,0.001986273481247611,71.10106060443586
51,RPLP0,9.999000099990002e-05,0.001986273481247611,70.73202462318426
52,FTL,9.999000099990002e-05,0.001986273481247611,70.08003833409096
53,RPL29,9.999000099990002e-05,0.001986273481247611,69.71951140394938
54,ERBB2,9.999000099990002e-05,0.001986273481247611,69.53503598305642
55,IGFBP5,9.999000099990002e-05,0.001986273481247611,68.81420968267413
56,NBEAL1,9.999000099990002e-05,0.001986273481247611,67.20022472952358
57,RPS3A,9.999000099990002e-05,0.001986273481247611,66.2311461273463
58,RPS12,9.999000099990002e-05,0.001986273481247611,66.00049950404451
59,CALR,9.999000099990002e-05,0.001986273481247611,65.20681706809431
60,ROMO1,9.999000099990002e-05,0.001986273481247611,65.1783395213831
61,KRT19,9.999000099990002e-05,0.001986273481247611,63.98882285376324
62,CST4,9.999000099990002e-05,0.001986273481247611,63.652819281875
63,RPS29,9.999000099990002e-05,0.001986273481247611,63.17340198194814
64,COX6C,9.999000099990002e-05,0.001986273481247611,62.268669999524356
65,CD9,9.999000099990002e-05,0.001986273481247611,62.088144670438105
66,PSMD3,9.999000099990002e-05,0.001986273481247611,60.67024953003007
67,PSAP,9.999000099990002e-05,0.001986273481247611,60.429247750560855
68,PTMA,9.999000099990002e-05,0.001986273481247611,59.44837148256302
69,TUBA1B,9.999000099990002e-05,0.001986273481247611,59.27348233716036
70,HLA-DRA,9.999000099990002e-05,0.001986273481247611,59.26374461089431
71,RPS17,9.999000099990002e-05,0.001986273481247611,58.349548502647316
72,EEF2,9.999000099990002e-05,0.001986273481247611,58.15963119692001
73,RPS27,9.999000099990002e-05,0.001986273481247611,57.55042673741973
74,RPL28,9.999000099990002e-05,0.001986273481247611,57.39816352192113
75,PPP1R1B,9.999000099990002e-05,0.001986273481247611,57.29115853266446
76,SCAND1,9.999000099990002e-05,0.001986273481247611,57.12443533772615
77,METRN,9.999000099990002e-05,0.001986273481247611,56.25433462743709
